C,NEMP.WORLD,PREDISPATCHIS,AEMO,PUBLIC,2020/03/19,12:01:14,0000000320548349,PREDISPATCHIS,0000000320548346
I,PREDISPATCH,CASE_SOLUTION,1,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASE_SOLUTION,1,2020031917,1,18,,0,527833346.7460,0,0,0,0,179,,,,,0,0,0,"2020/03/19 12:00:48",0
I,PREDISPATCH,LOCAL_PRICE,1,PREDISPATCHSEQNO,DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HPRL1,02,191.96,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HPRL1,03,192.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HPRL1,04,192.09,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HPRL1,05,192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HPRL1,06,192.14,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HPRL1,07,192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 16:30:00",JBUTTERS,09,-69.97,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:00:00",JBUTTERS,10,-68.69,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:30:00",JBUTTERS,11,-68.66,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:00:00",JBUTTERS,12,-69.04,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",JBUTTERS,13,-69.32,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:00:00",JBUTTERS,14,-68.5,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:30:00",JBUTTERS,15,-62.08,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",JBUTTERS,16,-73.31,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",JBUTTERS,17,-63.32,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",LEM_WIL,13,-0.38,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",LEM_WIL,16,-3.45,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",LEM_WIL,17,-0.63,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",LGAPWF1,01,-675.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",LGAPWF1,02,-289.24,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",LGAPWF1,03,-289.5,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",LGAPWF1,04,-289.44,2,"2020/03/19 12:00:48"
